appid,Game_Name,Tags,month,Avg. Players,Gain,% Gain,Peak Players,patch_count
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2024-05,512919.2,56368.39,+12.35%,943059,2
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2024-04,456550.81,27632.26,+6.44%,921133,1
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2024-03,428918.55,996.14,+0.23%,729865,3
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2024-02,427922.41,-12306.95,-2.80%,741290,1
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2024-01,440229.36,4711.72,+1.08%,736488,1
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2023-12,435517.65,1790.02,+0.41%,802728,4
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2023-11,433727.63,-1893.35,-0.43%,767353,1
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2023-10,435620.98,-1652.43,-0.38%,780443,2
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2023-09,437273.4,-7045.83,-1.59%,777466,3
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2023-08,444319.24,5809.01,+1.32%,855495,10
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2023-07,438510.22,17173.81,+4.08%,702381,1
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2023-06,421336.42,-11884.27,-2.74%,679525,3
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2023-05,433220.69,3994.22,+0.93%,711816,4
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2023-04,429226.47,10481.98,+2.50%,809580,5
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2023-03,418744.49,16897.45,+4.20%,752617,4
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2023-02,401847.04,-26449.56,-6.18%,680746,2
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2023-01,428296.61,-40248.41,-8.59%,764490,1
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2022-12,468545.02,-55139.04,-10.53%,827395,5
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2022-11,523684.06,67381.42,+14.77%,990057,3
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2022-10,456302.65,-34422.21,-7.01%,1038848,2
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2022-09,490724.86,22257.99,+4.75%,867484,3
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2022-08,468466.87,23872.31,+5.37%,747231,4
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2022-07,444594.56,-13548.95,-2.96%,684842,4
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2022-06,458143.51,11226.61,+2.51%,699592,4
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2022-05,446916.9,-4909.87,-1.09%,691586,3
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2022-04,451826.77,3103.17,+0.69%,730168,0
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2022-03,448723.6,-1476.54,-0.33%,740784,6
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2022-02,450200.14,-35591.30,-7.33%,725851,4
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2022-01,485791.43,36494.07,+8.12%,786118,5
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2021-12,449297.37,436.83,+0.10%,756170,3
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2021-11,448860.53,-1900.91,-0.42%,747506,5
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2021-10,450761.44,59679.37,+15.26%,752482,23
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2021-09,391082.08,-33898.09,-7.98%,666838,32
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2021-08,424980.17,1823.99,+0.43%,699613,28
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2021-07,423156.18,1646.22,+0.39%,707406,24
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2021-06,421509.96,6365.00,+1.53%,734277,27
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2021-05,415144.96,1360.00,+0.33%,672307,21
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2021-04,413784.97,23372.21,+5.99%,705534,53
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2021-03,390412.76,-14419.37,-3.56%,648875,45
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2021-02,404832.13,-27839.52,-6.43%,651615,40
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2021-01,432671.65,10119.33,+2.39%,694613,32
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2020-12,422552.32,-3352.52,-0.79%,697833,53
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2020-11,425904.83,19543.48,+4.81%,711824,12
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2020-10,406361.36,-2248.43,-0.55%,723280,34
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2020-09,408609.78,-21107.34,-4.91%,670547,10
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2020-08,429717.12,-20496.87,-4.55%,666138,2
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2020-07,450213.99,-6970.43,-1.52%,712610,7
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2020-06,457184.42,-27004.60,-5.58%,733294,9
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2020-05,484189.02,-9111.25,-1.85%,793135,1
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2020-04,493300.27,56152.91,+12.85%,801121,3
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2020-03,437147.36,31168.71,+7.68%,743933,4
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2020-02,405978.65,27053.22,+7.14%,663812,3
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2020-01,378925.43,-5254.32,-1.37%,616415,5
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2019-12,384179.76,-17752.05,-4.42%,685165,7
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2019-11,401931.8,13575.94,+3.50%,708517,9
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2019-10,388355.86,-33615.38,-7.97%,739924,4
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2019-09,421971.24,-45177.05,-9.67%,753996,4
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2019-08,467148.29,2360.67,+0.51%,826690,3
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2019-07,464787.61,-42740.82,-8.42%,779160,3
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2019-06,507528.44,-40994.74,-7.47%,865374,2
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2019-05,548523.18,28304.20,+5.44%,997341,4
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2019-04,520218.98,-66286.87,-11.30%,971545,1
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2019-03,586505.85,21596.18,+3.82%,1033925,2
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2019-02,564909.67,89162.67,+18.74%,964921,4
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2019-01,475747.0,36379.17,+8.28%,874888,3
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2018-12,439367.83,-21705.66,-4.71%,765422,3
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2018-11,461073.48,29899.57,+6.93%,826053,4
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2018-10,431173.91,-35296.83,-7.57%,739643,2
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2018-09,466470.74,-9630.34,-2.02%,826166,8
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2018-08,476101.08,34386.73,+7.78%,829281,9
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2018-07,441714.35,-32185.65,-6.79%,701582,11
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2018-06,473900.0,-425.87,-0.09%,796886,10
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2018-05,474325.87,43984.93,+10.22%,844713,9
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2018-04,430340.94,-6921.40,-1.58%,733214,13
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2018-03,437262.35,-1585.37,-0.36%,773897,22
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2018-02,438847.72,-48014.20,-9.86%,779299,9
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2018-01,486861.91,-26212.42,-5.11%,778627,1
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2017-12,513074.33,25693.09,+5.27%,864939,7
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2017-11,487381.24,21254.45,+4.56%,861173,31
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2017-10,466126.79,-25323.37,-5.15%,832550,5
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2017-09,491450.16,-65046.14,-11.69%,829555,0
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2017-08,556496.3,58051.92,+11.65%,876395,10
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2017-07,498444.38,-56844.70,-10.24%,824297,18
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2017-06,555289.07,-12237.35,-2.16%,923122,11
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2017-05,567526.42,27248.39,+5.04%,972876,12
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2017-04,540278.03,-8157.41,-1.49%,921318,12
570,Dota 2,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2017-03,548435.44,-43131.81,-7.29%,956232,15
